Group,Subjects
A00,"Toan, VatLy, HoaHoc"
A01,"Toan, VatLy, NgoaiNgu"
A02,"Toan, VatLy , SinhHoc"
A03,"Toan, VatLy, LichSu"
A04,"Toan, VatLy, DiaLy"
A05,"Toan, HoaHoc, LichSu"
A06,"Toan, HoaHoc, DiaLy"
A07,"Toan, LichSu, DiaLy"
A08,"Toan, LichSu, GDCD"
A09,"Toan, DiaLy, GDCD"
A10,"Toan, VatLy, GDCD"
A11,"Toan, HoaHoc, GDCD"
B00,"Toan, HoaHoc, SinhHoc"
B01,"Toan, SinhHoc, LichSu"
B02,"Toan, SinhHoc, DiaLy"
B03,"Toan, SinhHoc, NguVan"
B04,"Toan, SinhHoc, GDCD"
B08,"Toan, SinhHoc, NgoaiNgu"
C00,"NguVan, LichSu, DiaLy"
C01,"NguVan, Toan, VatLy"
C02,"NguVan, Toan, HoaHoc"
C03,"NguVan, Toan, LichSu"
C04,"NguVan, Toan, DiaLy"
C05,"NguVan, VatLy, HoaHoc"
C06,"NguVan, VatLy, SinhHoc"
C07,"NguVan, VatLy, LichSu"
C08,"NguVan, HoaHoc, SinhHoc"
C09,"NguVan, VatLy, DiaLy"
C10,"NguVan, HoaHoc, LichSu"
C12,"NguVan, SinhHoc, LichSu"
C13,"NguVan, SinhHoc, DiaLy"
C14,"NguVan, Toan, GDCD"
C16,"NguVan, VatLy, GDCD"
C17,"NguVan, HoaHoc, GDCD"
C18,"NguVan, SinhHoc, GDCD"
C19,"NguVan, LichSu, GDCD"
C20,"NguVan, DiaLy, GDCD"
D01,"NguVan, Toan, NgoaiNgu"
D07,"Toan, HoaHoc, NgoaiNgu"
D08,"Toan, SinhHoc, NgoaiNgu"
D09,"Toan, LichSu, NgoaiNgu"
D10,"Toan, DiaLy, NgoaiNgu"
D11,"NguVan, VatLy, NgoaiNgu"
D12,"NguVan, HoaHoc, NgoaiNgu"
D13,"NguVan, SinhHoc, NgoaiNgu"
D14,"NguVan, LichSu, NgoaiNgu"
D15,"NguVan, DiaLy,NgoaiNgu"
D66,"NguVan, GDCD, NgoaiNgu"
D84,"Toan, GDCD, NgoaiNgu"
