university,Mã ngành,Tên ngành,Tổ hợp môn,2025,2024,2023,2022,2021,2020,2019,2018,2017
DHL,7540101,Công nghệ thực phẩm,A00,17.0,16.0,16.0,20.0,19.5,18.0,16.0,15.0,15.5
DHL,7540101,Công nghệ thực phẩm,A08,17.0,16.0,16.0,20.0,19.5,18.0,16.0,15.0,15.5
DHL,7540101,Công nghệ thực phẩm,B03,17.0,16.0,16.0,20.0,19.5,18.0,16.0,15.0,15.5
DHL,7540101,Công nghệ thực phẩm,C01,17.0,16.0,16.0,20.0,19.5,18.0,16.0,15.0,15.5
DHL,7540101,Công nghệ thực phẩm,C02,17.0,16.0,16.0,20.0,19.5,18.0,16.0,15.0,15.5
DHL,7540101,Công nghệ thực phẩm,C04,17.0,16.0,16.0,20.0,19.5,18.0,16.0,15.0,15.5
DHL,7540101,Công nghệ thực phẩm,D01,17.0,16.0,16.0,20.0,19.5,18.0,16.0,15.0,15.5
DHL,7620118,Nông nghiệp công nghệ cao,A08,15.0,15.0,15.0,15.0,15.0,15.0,,,
DHL,7620118,Nông nghiệp công nghệ cao,B00,15.0,15.0,15.0,15.0,15.0,15.0,,,
DHL,7620118,Nông nghiệp công nghệ cao,B03,15.0,15.0,15.0,15.0,15.0,15.0,,,
DHL,7620118,Nông nghiệp công nghệ cao,C03,15.0,15.0,15.0,15.0,15.0,15.0,,,
DHL,7620118,Nông nghiệp công nghệ cao,C04,15.0,15.0,15.0,15.0,15.0,15.0,,,
DHL,7620118,Nông nghiệp công nghệ cao,D01,15.0,15.0,15.0,15.0,15.0,15.0,,,
DHL,7620119,Kinh doanh và khởi nghiệp nông thôn,A07,15.0,15.0,15.0,15.0,15.0,15.0,,,
DHL,7620119,Kinh doanh và khởi nghiệp nông thôn,C00,15.0,15.0,15.0,15.0,15.0,15.0,,,
DHL,7620119,Kinh doanh và khởi nghiệp nông thôn,C03,15.0,15.0,15.0,15.0,15.0,15.0,,,
DHL,7620119,Kinh doanh và khởi nghiệp nông thôn,C04,15.0,15.0,15.0,15.0,15.0,15.0,,,
DHL,7620119,Kinh doanh và khởi nghiệp nông thôn,C14,15.0,15.0,15.0,15.0,15.0,15.0,,,
DHL,7620119,Kinh doanh và khởi nghiệp nông thôn,C19,15.0,15.0,15.0,15.0,15.0,15.0,,,
DHL,7620119,Kinh doanh và khởi nghiệp nông thôn,D01,15.0,15.0,15.0,15.0,15.0,15.0,,,
DHL,7640101,Thú y,A00,19.5,17.5,18.0,20.0,20.5,19.0,15.0,15.0,15.5
DHL,7640101,Thú y,B00,19.5,17.5,18.0,20.0,20.5,19.0,15.0,15.0,15.5
DHL,7640101,Thú y,C04,19.5,17.5,18.0,20.0,20.5,19.0,15.0,15.0,15.5
DHL,7640101,Thú y,D01,19.5,17.5,18.0,20.0,20.5,19.0,15.0,15.0,15.5
DHF,7140231,Sư phạm Tiếng Anh,D01,30.0,27.1,25.5,19.0,25.75,23.5,21.75,21.0,23.25
DHF,7140231,Sư phạm Tiếng Anh,D14,30.0,27.1,25.5,19.0,25.75,23.5,21.75,21.0,23.25
DHF,7140231,Sư phạm Tiếng Anh,D15,30.0,27.1,25.5,19.0,25.75,23.5,21.75,21.0,23.25
DHF,7140233,Sư phạm Tiếng Pháp,D01,27.4,19.0,19.0,19.0,19.0,18.5,18.0,17.15,14.25
DHF,7140233,Sư phạm Tiếng Pháp,D15,27.4,19.0,19.0,19.0,19.0,18.5,18.0,17.15,14.25
DHF,7140234,Sư phạm Tiếng Trung Quốc,D01,30.0,26.5,24.85,23.0,23.0,18.5,20.5,18.5,18.25
DHF,7140234,Sư phạm Tiếng Trung Quốc,D15,30.0,26.5,24.85,23.0,23.0,18.5,20.5,18.5,18.25
