Tên ngành,Mã ngành,Tổ hợp môn,2024,2023,2022,2021,2020,2019,2018,2017
Báo chí,7320101,C00,28.8,28.0,28.25,27.8,27.5,24.7,24.6,27.25
Báo chí,7320101,D01,26.7,26.71,27.0,27.1,26.15,24.1,22.6,25.5
Báo chí,7320101,D14,27.4,26.81,27.15,27.2,26.15,24.1,22.6,25.5
Báo chí,7320101_CLC,C00,27.73,27.5,27.5,26.8,26.8,23.3,,
Báo chí,7320101_CLC,D01,26.35,26.13,25.3,26.6,25.4,23.3,,
Báo chí,7320101_CLC,D14,27.1,26.13,27.15,26.8,25.4,23.3,,
Công tác xã hội,7760101,C00,27.15,24.7,22.6,24.3,22.8,20.8,20.0,24.5
Công tác xã hội,7760101,D01,24.49,23.6,21.75,24.0,22.0,20.8,19.0,22.5
Công tác xã hội,7760101,D14,24.9,23.6,21.75,24.0,22.0,20.0,19.0,22.5
Công tác xã hội,7760101,D15,25.3,23.6,21.75,,,,,
Du lịch,7810101,C00,,,,,,,24.9,0.0
Du lịch,7810101,D01,,,,,,,,0.0
Du lịch,7810101,D14,,,,,,,,0.0
Giáo dục học,7140101,B00,24.0,23.0,22.8,22.6,21.5,19.0,17.8,19.75
Giáo dục học,7140101,C00,26.6,24.1,23.6,23.2,22.15,19.0,19.8,21.75
Giáo dục học,7140101,C01,23.9,23.1,,23.2,22.15,19.0,17.8,19.75
Giáo dục học,7140101,D01,23.9,23.0,22.8,23.0,21.5,19.0,17.8,19.75
Hàn Quốc học,7310614,D01,26.36,25.12,25.45,26.25,25.2,23.45,22.25,25.0
Hàn Quốc học,7310614,D14,25.9,25.12,25.45,26.45,25.2,23.45,22.25,25.0
Hàn Quốc học,7310614,DD2,25.0,25.0,25.45,26.0,,,,
Hàn Quốc học,7310614,DH5,25.0,25.0,,26.0,,,,
Kinh doanh thương mại Hàn Quốc,73106a1,D01,26.36,,,,,,,
Kinh doanh thương mại Hàn Quốc,73106a1,D14,26.96,,,,,,,
Kinh doanh thương mại Hàn Quốc,73106a1,DD2,24.0,,,,,,,
Kinh doanh thương mại Hàn Quốc,73106a1,DH5,25.0,,,,,,,
Lưu trữ học,7320303,C00,26.98,23.75,21.75,24.8,24.25,20.5,20.25,0.0
Lưu trữ học,7320303,D01,24.4,22.1,21.25,24.2,22.75,20.5,19.25,0.0
Lưu trữ học,7320303,D14,24.5,22.1,21.25,24.2,22.75,20.5,19.25,0.0
Lưu trữ học,7320303,D15,24.85,22.1,21.25,,,,,
Lịch sử,7229010,C00,26.8,26.0,24.6,24.1,22.5,21.3,19.1,22.5
Lịch sử,7229010,D01,25.0,24.0,24.1,24.0,22.0,21.3,18.1,20.25
Lịch sử,7229010,D14,24.7,24.25,24.1,24.0,22.0,21.3,18.1,20.25
Lịch sử,7229010,D15,25.0,24.0,24.1,,,,,
Nghê thuật học,7210213,C00,28.15,,,,,,,
Nghê thuật học,7210213,D01,25.8,,,,,,,
Nghê thuật học,7210213,D14,26.75,,,,,,,
Ngôn ngữ Anh,7220201,D01,26.27,26.0,26.3,27.2,26.17,25.0,23.2,26.25
Ngôn ngữ Anh,7220201_CLC,D01,25.68,25.32,25.45,26.7,25.65,24.5,,
Ngôn ngữ Anh,Chương trình liên kết 2+2,D01,,,21.0,,,,,
Ngôn ngữ Anh,Chương trình liên kết 2+2,D14,,,21.0,,,,,
Ngôn ngữ Anh,Chương trình liên kết 2+2,D15,,,21.0,,,,,
Ngôn ngữ Italia,7220208,D01,22.8,22.56,20.0,24.5,21.5,20.0,18.8,21.0
Ngôn ngữ Italia,7220208,D03,22.2,22.4,20.0,24.5,21.5,20.0,18.8,21.0
Ngôn ngữ Italia,7220208,D05,22.2,22.4,20.0,24.5,21.5,20.0,18.8,21.0
Ngôn ngữ Nga,7220202,D01,22.95,22.2,20.25,23.95,20.0,19.8,18.1,19.5
Ngôn ngữ Nga,7220202,D02,22.5,22.2,20.25,23.95,20.0,19.8,18.1,19.5
Ngôn ngữ Pháp,7220203,D01,24.4,23.6,23.4,25.5,23.2,,20.6,23.25
Ngôn ngữ Pháp,7220203,D01/D03,,,,,,21.7,,
Ngôn ngữ Pháp,7220203,D03,23.7,23.2,23.0,25.1,22.75,,20.6,23.25
Ngôn ngữ Trung Quốc,7220204,D01,25.78,25.8,25.4,27.0,25.2,23.6,22.03,24.25
Ngôn ngữ Trung Quốc,7220204,D04,25.3,25.8,25.9,26.8,25.2,23.6,22.03,24.25
Ngôn ngữ Trung Quốc,7220204_CLC,D01,25.08,24.5,24.25,26.3,24.0,,,
Ngôn ngữ Trung Quốc,7220204_CLC,D04,24.5,24.8,24.5,26.2,24.0,,,
Ngôn ngữ Trung Quốc,Chương trình liên kết 2+2,D01,,,21.0,,,,,
Ngôn ngữ Trung Quốc,Chương trình liên kết 2+2,D04,,,21.0,,,,,
Ngôn ngữ Trung Quốc,Chương trình liên kết 2+2,D14,,,21.0,,,,,
Ngôn ngữ Trung Quốc,Chương trình liên kết 2+2,D15,,,21.0,,,,,
Ngôn ngữ Trung Quốc,Chương trình liên kết 2+2,D83,,,21.0,,,,,
Ngôn ngữ Trung Quốc,Chương trình liên kết 2+2,D95,,,21.0,,,,,
Ngôn ngữ Tây Ban Nha,7220206,D01,24.48,24.31,22.5,25.3,22.5,21.9,19.3,23.25
Ngôn ngữ Tây Ban Nha,7220206,D03,22.5,23.1,22.5,25.3,22.5,21.9,19.3,23.25
Ngôn ngữ Tây Ban Nha,7220206,D05,22.5,23.1,22.5,25.3,22.5,21.9,19.3,23.25
Ngôn ngữ học,7229020,C00,27.1,25.5,25.5,25.2,24.3,21.7,22.0,
Ngôn ngữ học,7229020,D01,24.8,24.8,24.35,25.0,23.5,21.7,21.0,
Ngôn ngữ học,7229020,D14,25.6,24.8,24.35,25.0,23.5,21.7,21.0,
Ngôn ngữ học,Ngôn ngữ học,C00,,,,,,,,25.0
Ngôn ngữ học,Ngôn ngữ học,D01,,,,,,,,23.0
Ngôn ngữ học,Ngôn ngữ học,D14,,,,,,,,23.0
Ngôn ngữ Đức,7220205,D01,25.33,24.31,23.5,25.6,23.0,22.5,20.2,23.0
Ngôn ngữ Đức,7220205,D05,23.7,23.7,23.0,24.0,22.0,20.25,20.2,21.0
Ngôn ngữ Đức,7220205_CLC,D01,24.15,23.4,21.75,25.6,,,,
Ngôn ngữ Đức,7220205_CLC,D05,22.9,22.05,21.5,24.0,,,,
Nhân học,7310302,C00,27.95,24.7,21.25,24.7,22.25,20.3,19.75,22.25
Nhân học,7310302,D01,25.65,24.0,21.0,24.3,21.75,20.3,18.75,20.25
Nhân học,7310302,D14,25.51,24.0,21.0,24.5,24.5,20.3,18.75,20.25
Nhân học,7310302,D15,25.58,24.0,21.0,,,,,
Nhật Bản học,7310613,D01,25.3,25.2,25.9,26.0,25.65,23.61,22.6,25.5
Nhật Bản học,7310613,D06,25.0,25.0,25.45,25.9,25.2,23.61,22.6,25.5
Nhật Bản học,7310613,D14,26.0,25.2,26.0,26.1,25.2,23.61,22.6,25.5
Nhật Bản học,7310613,D63,25.0,25.0,25.45,,,,,
Nhật Bản học,7310613_CLC,D01,23.3,23.5,23.4,23.4,25.0,23.3,,
Nhật Bản học,7310613_CLC,D06,23.1,23.4,23.4,25.2,24.5,23.3,,
Nhật Bản học,7310613_CLC,D14,,23.5,24.4,,24.5,23.3,,
Nhật Bản học,7310613_CLC,D63,23.1,23.4,23.4,23.4,,,,
Quan hệ quốc tế,7310206,D01,26.5,26.63,26.2,26.7,26.0,24.3,22.6,
